C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB
27/02/2023 17.25.46;26000;R1.1;20,36;20,24;20,20455;19,10714;67,7457;64,15347;98,36037;66;0
27/02/2023 17.26.16;26000;R1.1;20,36;20,24;20,20455;19,10714;67,75146;64,10155;98,79463;66;0
27/02/2023 17.26.46;26000;R1.1;20,37;20,24;20,20455;19,10714;67,76875;64,02077;99,25603;66;0
27/02/2023 17.27.16;26000;R1.1;20,37;20,25;20,20455;19,10714;67,77451;63,96307;99,69934;66;0
27/02/2023 17.27.46;26000;R1.1;20,38;20,25;20,20455;19,10714;67,78028;63,89384;100,1427;66;0
27/02/2023 17.28.16;26000;R1.1;20,38;20,25;20,20455;19,20663;67,77451;63,84191;100,586;66;0
27/02/2023 17.28.47;26000;R1.1;20,37;20,25;20,20455;19,20663;67,78028;63,77844;101,0202;66;0
27/02/2023 17.29.17;26000;R1.1;20,36;20,25;20,20455;19,20663;67,79181;63,72075;101,4545;66;0
27/02/2023 17.29.47;26000;R1.1;20,35;20,24;20,10606;19,20663;67,80334;63,66305;101,9068;66;0
27/02/2023 17.30.17;26000;R1.1;20,34;20,24;20,10606;19,20663;67,8091;63,58804;102,3592;66;0
27/02/2023 17.30.47;26000;R1.1;20,34;20,25;20,10606;19,20663;67,81487;63,54189;102,7935;66;0
27/02/2023 17.31.17;26000;R1.1;20,33;20,25;20,10606;19,30612;67,82063;63,47265;103,2549;66;0
27/02/2023 17.31.47;26000;R1.1;20,33;20,25;20,10606;19,30612;67,82063;63,41495;103,6801;66;0
27/02/2023 17.32.18;26000;R1.1;20,32;20,25;20,10606;19,30612;67,82063;63,36879;104,1324;66;0
27/02/2023 17.32.48;26000;R1.1;20,31;20,25;20,10606;19,30612;67,83215;63,30532;104,5848;66;0
27/02/2023 17.33.18;26000;R1.1;20,31;20,25;20,10606;19,30612;67,82639;63,2534;105,0281;66;0
27/02/2023 17.33.48;26000;R1.1;20,3;20,25;20,10606;19,30612;67,83792;63,1957;105,4805;66;0
27/02/2023 17.34.18;26000;R1.1;20,3;20,24;20,10606;19,30612;67,84368;63,138;105,9147;66;0
27/02/2023 17.34.48;26000;R1.1;20,3;20,24;20,10606;19,40561;67,86098;63,09185;106,3761;66;0
27/02/2023 17.35.18;26000;R1.1;20,3;20,24;20,10606;19,40561;67,86098;63,02261;106,8285;66;0
27/02/2023 17.35.48;26000;R1.1;20,3;20,24;20,10606;19,40561;67,86098;62,97068;107,2627;66;0
27/02/2023 17.36.21;26000;R1.1;20,29;20,24;20,10606;19,40561;67,86098;62,94183;107,697;66;0
27/02/2023 17.36.53;26000;R1.1;20,29;20,24;20,10606;19,40561;67,86098;62,86683;108,2308;66;0
27/02/2023 17.37.23;26000;R1.1;20,29;20,24;20,10606;19,40561;67,86674;62,79759;108,6741;66;0
27/02/2023 17.37.53;26000;R1.1;20,29;20,24;20,10606;19,40561;67,87827;62,76297;109,1174;66;0
